iter	Passed	Remaining
874	2602	371
875	2604	368
876	2605	365
877	2607	362
878	2608	359
879	2610	355
880	2612	352
881	2614	349
882	2616	346
883	2618	343
884	2623	340
885	2630	338
886	2631	335
887	2633	332
888	2635	329
889	2636	325
890	2643	323
891	2644	320
892	2645	317
893	2647	313
894	2648	310
895	2650	307
896	2653	304
897	2654	301
898	2656	298
899	2657	295
900	2659	292
901	2660	289
902	2662	285
903	2666	283
904	2668	280
905	2670	277
906	2673	274
907	2675	271
908	2676	267
909	2677	264
910	2682	262
911	2683	258
912	2685	255
913	2686	252
914	2688	249
915	2689	246
916	2690	243
917	2692	240
918	2695	237
919	2697	234
920	2698	231
921	2700	228
922	2701	225
923	2702	222
924	2704	219
925	2705	216
926	2707	213
927	2710	210
928	2711	207
929	2713	204
930	2714	201
931	2716	198
932	2717	195
933	2719	192
934	2720	189
935	2721	186
936	2723	183
937	2726	180
938	2727	177
939	2729	174
940	2730	171
941	2732	168
942	2733	165
943	2735	162
944	2736	159
945	2737	156
946	2742	153
947	2744	150
948	2746	147
949	2748	144
950	2752	141
951	2759	139
952	2762	136
953	2765	133
954	2766	130
955	2768	127
956	2774	124
957	2778	121
958	2780	118
959	2782	115
960	2784	113
961	2793	110
962	2796	107
963	2797	104
964	2798	101
965	2800	98
966	2804	95
967	2807	92
968	2809	89
969	2810	86
970	2812	83
971	2813	81
972	2815	78
973	2820	75
974	2824	72
975	2826	69
976	2828	66
977	2833	63
978	2835	60
979	2838	57
980	2839	54
981	2840	52
982	2842	49
983	2843	46
984	2849	43
985	2851	40
986	2852	37
987	2854	34
988	2855	31
989	2857	28
990	2858	25
991	2865	23
992	2867	20
993	2870	17
994	2871	14
995	2873	11
996	2874	8
997	2879	5
998	2881	2
999	2882	0
